Date,Address,Bedrooms,Bathrooms,ParkingSpace,LandArea,SoldPrice
27/06/2020,"8 Macarthur Crescent, Westmead NSW 2145",3,1,1,541,"1010000"
17/03/2020,"39 Grand Avenue, Westmead NSW 2145",4,2,1,650,"1650000"
16/03/2020,"7/163-171 Hawkesbury Road, Westmead NSW 2145",2,2,1,137,"603000"
29/02/2020,"14 Booth Street, Westmead NSW 2145",4,2,1,710,"1485000"
30/11/2019,"51 Grand Avenue, Westmead NSW 214",3,1,1,650,"1480000"
23/11/2019,"54 Bridge Road, Westmead NSW 2145",4,1,2,"1404","1670000"
09/11/2019,"48 Good Street, Westmead NSW 2145",3,1,1,708,"1440000"
02/11/2019,"76 Bridge Road, Westmead NSW 2145",5,3,2,360,"1010000"
18/10/2019,"2/50 Alexandra Avenue, Westmead NSW 2145",2,1,1,?,"420000"
12/10/2019,"64 Hawkesbury Road, Westmead NSW 2145",3,1,1,917,"1308000"
12/09/2019,"11 Houison Street, Westmead NSW 2145",2,1,2,923,"1560000"
